0,1,2,3
0.20945008,0.14959244,0.04509428,-0.13166285
0.13351434,0.24015181,0.21324977,-0.14022094
0.16113761,0.37524685,0.04854346,0.295525
0.20480314,0.13445927,0.20800725,-0.0041595018
-0.022050187,-0.19580661,-0.22330129,0.041278183
0.23933615,0.38368383,0.0674723,-0.098983474
0.42693365,-0.005457867,-0.12851429,-0.17254096
0.22188152,0.1623917,0.11629508,-0.0060505783
0.058470443,0.014957752,0.06325279,-0.090331964
0.26932535,0.20758303,0.15027738,0.14932251
0.26609394,0.20675938,0.17712918,0.14443624
0.18979046,0.68644685,0.25622347,0.07388138
0.17595893,0.527158,0.2161794,-0.10593479
0.20477176,0.09053111,0.11729445,0.034536578
0.106113285,0.07060009,0.062344164,-0.035076335
0.0020426754,-0.42934805,-0.08626857,0.020113625
0.02945508,-0.05143185,-0.011236519,0.05841779
0.14055097,0.020843077,0.06385043,0.15383762
0.905143,3.2861462,-0.6482064,1.8888463
0.30579397,0.05418441,-0.07338267,-0.1527307
0.004538765,-0.09924121,0.1296534,-0.0021579778
0.148727,0.57233906,0.12118798,0.91564226
0.07542616,-0.046604794,0.119622715,0.037817605
0.2146791,0.25938338,0.099303104,0.22219118
-0.10993011,-0.7098153,-0.45869517,-0.148101
0.15819553,-0.03242476,-0.09224589,0.33361378
-0.01398604,-0.101458654,-0.02188401,-0.02930602
0.16189864,0.12901276,0.21172178,0.1236363
0.2528111,0.12219085,-0.023940273,0.32826215
0.43259102,0.1481266,-0.12435702,-0.16083997
0.18538003,0.49494275,0.18978357,-0.108665936
0.027774334,-0.20478691,0.096662536,0.03604118
0.060356427,0.03785136,0.09906142,-0.06143634
0.3217462,0.60746676,0.064113595,0.039352268
-0.2889048,-2.5181227,-2.4178762,-0.31236386
-2.492037,-1.2267153,-1.6453676,3.6920807
-0.87328553,-3.7286377,-3.0617154,-0.29317504
-1.2093195,-0.63684434,-0.35582554,1.0016676
0.21083015,0.14970417,0.05495549,0.11188531
0.19436845,0.15522994,0.027315065,0.26186934
0.16584669,0.09020005,0.11960762,0.103104584
0.3032052,0.10682979,-0.29379228,0.20301042
0.006207455,0.010410573,-0.034478605,-0.01729042
-0.28940156,-1.8220598,-1.3092097,-0.07220013
-0.057424057,-0.37160513,0.045939185,0.014229857
0.2951971,0.056877445,0.005855195,-0.26990807
0.114564806,0.37600455,-0.22786036,0.48681265
0.1166822,-0.10465044,-0.19496658,0.2939483
-0.023386259,-0.12814113,0.18513584,-0.02749823
0.25311038,0.13589714,0.037582792,0.27571905
-0.27064258,-0.6795549,-0.65366596,1.0034512
0.27034077,0.31494242,0.13080198,0.14098193
0.14448656,0.119422495,0.052308284,-0.107633926
0.2393973,0.03651828,-0.15074039,0.39836276
0.34036848,0.10040611,-0.08751734,-0.054534644
0.1517808,0.2915146,0.17710859,-0.16576707
0.0054251645,-0.32645443,-0.025774464,0.03646893
1.1430093,1.6281184,-0.07908968,0.82562757
0.2156067,0.13095807,0.10694662,0.14151101
0.11388698,-0.1427679,-0.1729342,0.24987972
0.22955832,0.05347841,0.09898733,0.089836426
0.22334746,0.10679813,0.07082635,0.21563786
0.13828114,-0.05029292,-0.3315347,0.18084733
-0.24949363,0.034806762,-0.15045181,-0.24950361
0.042123888,0.0002898071,-0.04074936,-0.025990572
1.4647347,1.1317095,0.20488447,0.7804175
-0.03351902,-0.2815634,0.053992696,0.0015764469
-0.04469115,-0.26184705,-0.14080653,-0.04952792
-0.011115674,-0.23355716,-0.19609028,0.52628714
0.19056329,0.12743865,0.12506127,-0.028015077
-0.051389355,-0.27369925,-0.03572857,-0.0312028
0.31852934,-1.9492681,-1.6817766,0.31765652
0.20922762,0.053325232,0.061106607,0.12222772
-1.2819576,-0.6938583,-0.08384178,1.761509
0.15009472,0.108912304,0.18266594,0.0031108642
0.15820341,0.20809747,0.24451071,-0.10122609
0.11487062,-0.8625379,-0.7415855,-0.010268605
-0.25346708,0.03209323,-0.15997776,-0.25337642
-0.007288957,-0.079457775,-0.02103832,0.028365657
0.056671005,-0.8831335,-0.5824174,0.1510011
0.24641235,0.16121817,0.008126125,-0.12735231
-0.6632423,-0.30799642,-0.04441008,0.31410912
-0.24952278,-0.2368097,-0.11270445,0.28256008
-0.7308569,-4.351312,-3.4788773,-0.4677016
0.25192493,0.36026627,0.015364442,-0.10058744
0.18536046,0.12271784,-0.004195517,-0.11864547
0.020942759,-0.101852685,0.2270104,0.019202694
-0.9150111,-0.47925484,-0.0980648,0.9190042
0.14787206,0.21125437,-0.01383031,-0.008316684
0.5486549,-0.112612754,-0.16216606,-0.18535444
0.3028034,0.8307703,0.13424706,0.22672357
0.09188528,-0.7934369,-1.0933117,0.86355335
0.061637565,0.0128028765,-0.07143663,-0.0331781
0.07756516,5.746117,4.6096015,1.0500364
-0.11548644,0.03915601,-0.04686008,-0.18304291
0.19067149,0.11929415,0.16816425,0.038399573
0.07229543,-0.26702857,-0.27206424,-0.029157277
-0.09485309,-0.5421215,-0.2087484,-0.17479014
-0.19117409,-1.6390175,-0.9687288,-0.09211642
1.2487124,2.7528088,-0.40662897,1.6475743
-0.9116305,-0.80396944,-0.49298298,1.4609395
-0.26270637,-0.9513204,-1.4387547,-0.24672562
0.14200613,0.04698943,0.038773872,0.27752662
0.774691,-0.052050855,-0.3928206,-0.20900387
0.057191696,0.03652248,0.12397405,-0.08754861
-0.019810926,-0.118486896,-0.09895694,-0.011991858
-1.1243827,-0.50345606,0.0038190633,1.182084
0.39001274,1.6280298,-0.2591842,0.7964471
0.12690078,-0.07923934,-0.10017036,0.32608187
-1.0609804,-0.5054953,-0.008649036,1.0729339
-0.006771762,-0.7482489,-0.7596032,0.7568442
-0.01961046,-0.13056324,-0.04355796,-0.031933613
-0.07688172,-1.6621996,-0.95618635,-0.11173672
0.13316369,0.15598552,0.19831389,-0.0931556
0.099952325,-0.4481357,-0.4750247,0.5929019
0.19233656,0.17957033,0.03975173,-0.15396759
-0.28555533,-1.4549676,-1.0322427,-0.09841127
-0.08603558,-0.78944695,-0.5282138,-0.071917035
-0.41483834,-0.16173993,-0.24384019,-0.16509497
-3.1284173,-1.6382166,-1.5270245,5.0888815
0.16000775,0.23767047,0.06585939,-0.17372173
-0.07311249,-1.3824599,-1.1809013,0.20666173
0.23163867,0.42277545,0.10914096,-0.09394238
0.5662831,0.5786581,-0.16229802,-0.06754134
